

 *** contingency     1 : increase load 0.0%                      

    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency    90 : increase load 0.898989898989899%        

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency    91 : increase load 0.9090909090909092%       

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency    92 : increase load 0.9191919191919191%       

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency    93 : increase load 0.9292929292929293%       

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency    94 : increase load 0.9393939393939394%       

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency    95 : increase load 0.9494949494949494%       

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency    96 : increase load 0.9595959595959596%       

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency    97 : increase load 0.9696969696969697%       

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency    98 : increase load 0.9797979797979797%       

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency    99 : increase load 0.9898989898989901%       

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency   100 : increase load 1.0%                      

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused
